signal,event,time_seconds,value,baseline,threshold
EDA,ACTIVATED,0.00471,0.5309110283851624,0.5124327979377798,0.5194327979377799
EDA,DEACTIVATED,1.834366,0.518779993057251,0.5124327979377798,0.5194327979377799
HR,ACTIVATED,2.900439,101.13999938964844,88.35833358764648,97.35833358764648
HR,DEACTIVATED,3.733189,94.52999877929688,88.35833358764648,97.35833358764648
HR,ACTIVATED,4.233175,99.16999816894533,88.35833358764648,97.35833358764648
HR,DEACTIVATED,6.467088,90.91999816894533,88.35833358764648,97.35833358764648
HR,ACTIVATED,7.901233,98.6999969482422,88.35833358764648,97.35833358764648
HR,DEACTIVATED,9.100752,87.5199966430664,88.35833358764648,97.35833358764648
EDA,ACTIVATED,13.203288,0.5199019908905029,0.5124327979377798,0.5194327979377799
EDA,DEACTIVATED,15.504469,0.5189340114593506,0.5124327979377798,0.5194327979377799
HR,ACTIVATED,16.001995,100.5999984741211,88.35833358764648,97.35833358764648
HR,DEACTIVATED,20.869333,90.9000015258789,88.35833358764648,97.35833358764648
EDA,ACTIVATED,24.670937,0.5228660106658936,0.5124327979377798,0.5194327979377799
EDA,DEACTIVATED,45.992466,0.5190500020980835,0.5124327979377798,0.5194327979377799
EDA,ACTIVATED,49.059561,0.5203289985656738,0.5124327979377798,0.5194327979377799
EDA,DEACTIVATED,51.49326,0.5193600058555603,0.5124327979377798,0.5194327979377799
HR,ACTIVATED,75.363655,139.5800018310547,88.35833358764648,97.35833358764648
HR,DEACTIVATED,79.564682,92.6999969482422,88.35833358764648,97.35833358764648
HR,ACTIVATED,97.367913,108.19000244140624,88.35833358764648,97.35833358764648
HR,DEACTIVATED,98.601776,95.26000213623048,88.35833358764648,97.35833358764648
HR,ACTIVATED,102.168968,97.37999725341795,88.35833358764648,97.35833358764648
HR,DEACTIVATED,106.170285,96.33000183105467,88.35833358764648,97.35833358764648
HR,ACTIVATED,112.171201,99.80999755859376,88.35833358764648,97.35833358764648
HR,DEACTIVATED,113.804648,85.76000213623047,88.35833358764648,97.35833358764648
HR,ACTIVATED,119.505822,105.86000061035156,88.35833358764648,97.35833358764648
HR,DEACTIVATED,121.973256,89.88999938964844,88.35833358764648,97.35833358764648
HR,ACTIVATED,129.325923,105.72000122070312,88.35833358764648,97.35833358764648
HR,DEACTIVATED,131.608725,87.97000122070312,88.35833358764648,97.35833358764648
HR,ACTIVATED,133.425698,100.68000030517578,88.35833358764648,97.35833358764648
HR,DEACTIVATED,138.459764,89.12999725341797,88.35833358764648,97.35833358764648
HR,ACTIVATED,155.030991,163.42999267578125,88.35833358764648,97.35833358764648
HR,DEACTIVATED,160.499987,95.93000030517578,88.35833358764648,97.35833358764648
