frame,change 1.x,change 1.y,change 1.z,change 2.x,change 2.y,change 2.z,change 3.x,change 3.y,change 3.z,change 4.x,change 4.y,change 4.z,change 5.x,change 5.y,change 5.z,change 6.x,change 6.y,change 6.z
2,0.005464773562056893,0.0013507396206235076,0.003836141899228096,0.003052402539160448,0.00117731439368993,0.004496382549405098,2.6500981633401782e-05,8.624919998430943e-05,0.00033738836646080017,0.003931562700163635,0.0021227638479787425,0.001793649047613144,0.0027381216929326727,0.001292579812771779,0.0006360393017530441,0.0007460034894249401,0.0012104162393003822,0.0065540894865989685
3,0.0011256339573847418,0.0010016526737575797,0.0002805553376674652,0.002113935263192007,0.0008061855839796919,0.0003445865586400032,1.0851499031246103e-05,5.6121294592240156e-05,5.8002769947052e-05,0.0017121371092974624,0.0014336565629847683,0.00047958362847566605,0.0018542985098856102,0.000860798446760333,0.0012624282389879227,0.0023037762204266565,0.0006095191537715348,0.0006402879953384399
4,0.0003815193739734879,0.0001842460056643916,0.0006869323551654816,0.0005482488588841317,0.0005646062123423057,0.0001483699306845665,7.025493132733346e-05,8.569350103136328e-05,3.244727849960327e-05,0.00015393126071945595,0.0008734900709802054,0.00021379254758358002,0.0009548708498811551,0.002034261840922976,0.0004695449024438858,0.0005483712280167918,0.0013666948590326834,0.0007299669086933136
5,0.003166053674125341,0.0006520865889194198,0.00032493285834789276,0.002245113633608159,7.318270897452295e-05,0.00014189071953296661,5.347701518320161e-05,6.350541851506044e-05,0.00010322779417037964,0.0008500723749162997,0.00023702125676722252,0.0015391940250992775,0.0010343022681131853,0.0013134386927172795,0.000785578042268753,0.0024655806157461713,0.0008604510942871752,0.002571258693933487
6,0.0002429877150935955,2.9085546690146152e-05,3.372505307197571e-05,0.0002167383988626037,0.000253240739090433,0.0001515643671154976,4.307732924792827e-05,9.606246046333158e-06,4.965439438819885e-05,0.0005533716602297012,0.00043721664453060666,0.0004704222083091736,0.00036574686814572904,0.000743420734338758,0.00018324516713619232,0.00033169463724938564,0.0002639806089915868,0.000667821615934372
7,0.0005336051388366292,0.00032542878148558024,0.0008696559816598892,0.000514441793720205,0.0004785241275747261,0.0004218686372041702,2.5790390864669985e-05,0.00010945094980079973,5.585327744483948e-05,0.0005521904350160312,0.0018423874322170963,0.00021173525601625443,0.0006396733375447702,0.0007416833708166655,0.0003943275660276413,6.375584887299834e-05,0.0015886862281164014,0.0005979202687740326
8,0.0011148140026671638,0.00016685031637836412,0.0009339936077594757,0.001373964716600673,0.00035365145346499816,0.00044343434274196625,4.0608035950129295e-05,7.444025932098271e-05,6.701424717903137e-05,0.0018586745293550783,0.001793302300966304,0.00021155551075935364,0.00250955457296434,0.00047976430100074574,0.0009211543947458267,0.00141278725178956,0.001053509892289934,0.00042626261711120605
9,0.0002786912080884052,7.772737168922766e-06,0.00021043047308921814,0.0008117931068208073,0.0001270446855483609,0.0003516562283039093,0.00010297007690785072,3.0909830186040977e-06,4.7441571950912476e-05,0.0005666279325248769,0.00046194721143701795,0.0006131790578365326,1.8324932917743175e-05,0.0004471830244795888,0.000459497794508934,0.00037011149428667345,4.6528036353663677e-05,0.001100972294807434
10,0.000658429781726283,0.00011744098599898375,0.0007686614990234375,0.0007007401558568049,0.0002500230898062894,0.000719304196536541,7.404996516374197e-05,1.3783046898924265e-05,6.825104355812073e-05,0.0003053084886378149,0.0001556163005225833,0.0006368597969412804,0.0004721313319402329,0.00038865293146529353,0.000659087672829628,0.00046228187714361657,0.00043245412600634824,0.0016692206263542175
11,0.00028599750675781244,0.00014324061175650243,2.4223700165748596e-05,0.0003692399272787472,0.00017330741118373044,3.420840948820114e-05,3.365653210183478e-05,1.5948415881109285e-05,2.2370368242263794e-05,0.001196815028141257,0.00040457120907203686,6.418861448764801e-05,0.0004515923927162213,0.00011842243116251538,4.053860902786255e-05,3.844905567254586e-05,0.00027982952586703275,0.00025763362646102905
12,0.002539901163019262,0.00025070166952373407,0.0006114430725574493,0.00188730931430936,0.0011170320281421245,0.00040436163544654846,5.210390542197824e-06,5.9747538184932135e-05,8.650124073028564e-06,0.0003203078932570713,0.001732614681940546,0.0005188919603824615,0.0007669515783122541,0.0005256877018503317,0.0008427146822214127,0.00044329143451624087,0.0011176850911174749,0.0005537830293178558
13,0.0006083701611063752,6.000652347931679e-07,0.00016211159527301788,0.00017144274212421706,0.0005920604824218023,0.0001492239534854889,2.9589605137936292e-05,2.590343345589604e-06,1.8689781427383423e-05,0.0013090178618030343,0.0002385248268238216,0.00010330323129892349,0.0004160911274132678,0.00040715009264982033,9.961612522602081e-05,0.0004841425160601043,0.00014860457232470682,0.00010508671402931213
14,0.0002776004093184292,5.424293092191196e-05,0.0006209779530763626,0.0007290713145126915,0.0008838023245910306,0.0007809214293956757,4.204957445811015e-05,4.588519639888962e-05,7.0892274379730225e-06,0.0010598690506474287,0.000628966098638592,5.949009209871292e-05,0.0016779099463816588,0.0009319870346712229,0.00028637610375881195,0.0006535339663418238,0.0006581930243118629,1.665949821472168e-05
15,0.0014892968200964501,7.310480847670664e-06,0.00012978725135326385,0.0016323297664326553,0.0009520972503817247,0.0004227273166179657,2.393608302158484e-06,8.805067625484064e-05,8.702650666236877e-05,0.0010916609318046278,0.001568851386743661,0.0009420579299330711,0.0005343399835822521,0.001593629173139436,0.00045564398169517517,0.0015726011366931636,0.001607679391458807,0.0016052238643169403
16,0.0006419384323123611,0.00042532900647842056,0.0001649279147386551,0.0011353265760459808,0.0002082699979673204,0.0002840999513864517,1.2405124424883646e-05,7.133166392069533e-05,5.406886339187622e-05,6.4864339745202e-05,0.001185207309171668,0.0004992270842194557,0.0008930169219503736,0.0020426386397550435,0.0010660644620656967,0.0012714077807974289,0.0012311259238268948,0.001196831464767456
17,0.00022846967070515312,0.00030747133969916823,2.2722408175468445e-05,0.00030352426428448265,0.0002847280296141841,0.00043122656643390656,1.8733367922673175e-05,4.856091708869319e-05,3.5274773836135864e-05,0.0005698232046330715,0.0007348119196747202,0.0007277019321918488,0.0001517866135947593,0.0009784341992860844,0.00019286014139652252,0.0002981174330007885,0.00047451161859539057,0.0008854195475578308
18,0.000749325187160102,2.844156909497658e-06,0.0002490580081939697,0.0004526093590067892,0.00010182086514042704,0.0002272939309477806,4.394240510210284e-06,9.206911359666654e-07,1.9896775484085083e-05,0.0003647698143538075,0.0004059206639721452,0.000247870571911335,0.0008602381657399974,0.000245786341510304,0.0002739857882261276,0.0012158020515998513,4.318303994392883e-05,0.00023169070482254028
