time_seconds,clean_value
1.231502,53.470001220703125
2.664344,50.599998474121094
4.496881,46.93000030517578
5.097256,58.720001220703125
5.597614,69.4800033569336
6.230652,76.2699966430664
7.031515,76.86000061035156
7.765255,77.31999969482422
8.165011,93.4800033569336
9.397881,84.19999694824219
10.764876,74.75
12.698391,65.08000183105469
13.29878,71.44999694824219
14.032012,75.18000030517578
15.132334,70.37999725341797
15.865889,74.3499984741211
16.265823,88.12999725341797
17.099073,85.20999908447266
18.532868,75.80000305175781
18.833275,95.98999786376953
20.333543,83.91999816894531
23.133854,70.0999984741211
24.334009,65.27999877929688
26.201818,57.709999084472656
27.035063,62.43000030517578
27.934722,63.709999084472656
28.634812,67.0999984741211
29.46846,68.8499984741211
29.868502,83.86000061035156
31.235646,75.63999938964844
31.735581,84.47000122070312
32.536316,82.37000274658203
33.169494,84.9000015258789
33.769175,88.25
34.26907,96.41999816894531
35.30321,88.87999725341797
37.437088,75.41999816894531
37.970198,82.47000122070312
38.370352,94.44999694824219
39.403785,87.3499984741211
41.071114,75.69000244140625
42.804507,66.62000274658203
45.138395,57.560001373291016
50.239805,47.38999938964844
51.073633,54.40999984741211
51.807036,60.84000015258789
53.307423,56.09000015258789
53.840286,71.4000015258789
54.240235,85.83999633789062
54.773848,87.5999984741211
55.307127,95.91000366210938
55.807144,102.37000274658203
57.007597,90.7300033569336
57.944924,84.45999908447266
58.941841,79.58000183105469
60.275319,71.69999694824219
62.041755,63.70000076293945
63.676026,57.880001068115234
64.375615,62.560001373291016
64.675825,96.27999877929688
65.209101,98.69000244140625
65.843131,96.37000274658203
66.343231,105.26000213623047
67.476278,93.36000061035156
68.37668,90.16000366210938
68.810397,95.76000213623047
69.543356,93.0
70.426841,86.83000183105469
71.260166,83.4000015258789
72.260274,78.76000213623047
72.993845,79.77999877929688
75.12752,68.33999633789062
76.894736,60.900001525878906
77.928188,58.86000061035156
78.561703,71.41999816894531
79.361866,71.41999816894531
80.795555,64.80999755859375
83.563034,55.2400016784668
85.063163,51.970001220703125
86.796855,48.18000030517578
88.163708,46.9900016784668
89.097265,51.70000076293945
89.597448,67.98999786376953
89.997986,80.66000366210938
90.500292,90.51000213623047
91.631303,83.22000122070312
92.364733,82.2699966430664
94.79874,69.36000061035156
95.732059,68.44000244140625
96.232089,83.54000091552734
96.532334,112.58999633789062
97.165596,108.41000366210938
97.799299,103.91999816894531
101.266779,84.75
101.766606,89.7300033569336
102.600149,86.44999694824219
104.933692,72.98999786376953
105.667845,76.37999725341797
107.801173,65.69000244140625
108.401373,73.31999969482422
110.368946,63.970001220703125
111.935333,58.09000015258789
112.535687,66.01000213623047
113.269048,68.88999938964844
114.469319,65.06999969482422
115.203313,70.22000122070312
115.936721,73.12999725341797
121.204798,59.40999984741211
122.538481,56.0099983215332
123.872327,54.31999969482422
125.771865,48.90999984741211
127.374381,46.810001373291016
128.006363,57.2400016784668
129.940014,51.470001220703125
130.943193,52.849998474121094
131.773072,57.77000045776367
132.273564,70.58000183105469
133.206919,70.04000091552734
134.5404,64.9000015258789
135.34073,65.62999725341797
137.307969,58.130001068115234
138.274649,59.099998474121094
138.774276,68.19000244140625
139.775699,66.93000030517578
140.708703,65.94000244140625
141.50861,69.80999755859375
142.441858,68.18000030517578
143.541883,66.91999816894531
144.577683,63.15999984741211
145.175881,74.7699966430664
145.810125,77.76000213623047
147.243693,70.27999877929688
149.877631,59.56999969482422
152.162362,52.5
152.678858,64.63999938964844
153.995254,60.70000076293945
155.128962,59.11000061035156
155.729295,66.80999755859375
157.961641,57.91999816894531
159.095872,56.540000915527344
160.22922,56.31999969482422
162.130178,50.75
164.930162,44.29999923706055
165.863518,49.61000061035156
167.33058,47.59000015258789
167.730457,64.80000305175781
170.164049,56.13999938964844
173.065331,48.22999954223633
173.964871,52.0099983215332
174.59854,62.66999816894531
176.332364,56.31999969482422
177.666274,54.220001220703125
179.633444,48.84000015258789
180.473641,53.86000061035156
181.466656,55.220001220703125
183.0101,51.959999084472656
184.134013,51.90999984741211
185.667758,49.380001068115234
187.668159,45.06999969482422
189.735314,41.59000015258789
191.86907,38.63999938964844
192.20212,63.38999938964844
192.902207,70.13999938964844
194.435887,63.099998474121094
196.90333,54.540000915527344
198.137286,53.16999816894531
