frame,change 1.x,change 1.y,change 1.z,change 2.x,change 2.y,change 2.z,change 3.x,change 3.y,change 3.z,change 4.x,change 4.y,change 4.z,change 5.x,change 5.y,change 5.z,change 6.x,change 6.y,change 6.z
2,0.004444037337903453,0.00029223827254275594,0.0017892830073833466,0.0037115404116491446,0.0004475877296823347,0.001302141696214676,0.000298311145902631,9.570583373489115e-05,0.0001395139843225479,0.004945518212360653,0.0011878828839189184,0.0006412127986550331,0.0036035184386960656,0.0012112338591041619,0.0011706878431141376,0.0011311960650666197,0.0007917574757018916,0.0028326809406280518
3,0.0004267002167150369,0.0001313540467056569,0.00019971001893281937,0.00022077107524964834,7.36117401916106e-05,0.00013098493218421936,0.00016991673334908197,3.840161992984224e-05,1.138634979724884e-05,0.0002054214392079451,0.0014315588322680387,0.000125812366604805,0.00033827886716071565,0.0008148508765175311,0.0002498817630112171,0.00022826574922157894,0.0013030478128420722,0.0004541762173175812
4,0.0008447141656202917,0.00013108241227944607,2.1206215023994446e-06,0.0003818088384055923,3.888561924741962e-05,0.00036728568375110626,8.591432459731721e-06,4.434036457409853e-05,1.0067597031593323e-05,0.0001631107126165779,0.0007508781708614916,0.00032428186386823654,0.0004284936175080953,0.0010751299672997622,0.00013740453869104385,0.000333561233580415,0.0007901717588899813,0.00012719444930553436
5,0.002183417640479385,0.00039015137513815495,0.00015212874859571457,0.002666000135138652,0.00048742990761508134,0.0004438711330294609,4.47366899854907e-05,8.153645583213609e-05,6.540119647979736e-05,0.0016465338980433813,0.00036826445876847816,0.00010744854807853699,0.0021765505801564916,0.0020770876719251805,0.00028688134625554085,0.0006831303455681337,0.0012804780775462375,0.0009103566408157349
6,9.643184957815187e-05,0.0001362377690467438,0.0004076184704899788,0.0006476034976863193,0.0005016933736295658,0.00018524006009101868,9.673703702407083e-07,3.26758194766619e-05,4.207342863082886e-05,0.0004805151996789339,0.0005737348162006342,0.000308292917907238,0.0002245983159566145,0.0004866798293540926,0.0006642169319093227,0.0005332474962686518,0.000425092543307427,0.0008942093700170517
7,0.0003420515643795252,9.360749932287721e-05,0.00024514365941286087,0.0007626397967017001,0.0001653504250193165,6.647221744060516e-05,5.848841728064991e-06,2.1458348996122986e-05,6.293877959251404e-06,0.0008292666727681211,2.1523375784149312e-05,1.1135824024677277e-05,0.0008736652167167305,0.00045695334886703895,0.00019701942801475525,0.00030817082157752473,0.0003860074520206638,0.00036206841468811035
8,0.00019427607770861055,4.917207942421731e-05,0.00014709727838635445,0.00015350347792159047,1.7726483811535132e-05,0.000200759619474411,5.8675612318696835e-06,1.2817513775078778e-05,1.8483027815818787e-05,0.00033704713253248503,0.0009611139984415894,0.00021326448768377304,0.0004719353439757157,0.00036277268924024206,0.00010052928701043129,0.00043212330792266607,0.00021072658246515212,0.00030112825334072113
9,0.00013960658133657655,0.00010124622542431565,0.0001645442098379135,5.606030028895703e-05,1.2781852689738166e-05,4.118867218494415e-05,3.779991839161778e-06,9.542158978141332e-06,1.356564462184906e-05,0.00031492085247537827,0.00022395271686952156,9.492598474025726e-05,0.00030830299256078,0.00018449024437686493,8.34902748465538e-05,0.0006479854847446231,0.00015829432681047865,0.00023051351308822632
10,0.0001632538425238167,0.00018389228832115835,2.1191779524087906e-05,0.00022277298969129722,4.37894320489407e-05,4.6230852603912354e-05,7.381988398511355e-06,8.969911987712401e-07,1.3690441846847534e-06,0.00017712844401820277,0.00018651517134189374,6.381422281265259e-06,0.00015431308749278005,0.00010242073229714543,3.990251570940018e-06,0.0003604127000780277,1.0093976548775085e-05,0.00027089938521385193
11,0.0003644598575533592,7.629284379833366e-05,8.931336924433708e-05,1.8976879045479178e-05,0.0001451564646243117,4.336610436439514e-05,1.9382032983364383e-06,3.413922606617802e-07,5.301088094711304e-06,2.2222366515875502e-05,5.6964339326167485e-05,8.456408977508545e-05,0.0005087577920373926,0.00011831004942109563,1.961085945367813e-05,0.00021136586817119274,1.2839963370401414e-06,0.00011448189616203308
