frame,change 1.x,change 1.y,change 1.z,change 2.x,change 2.y,change 2.z,change 3.x,change 3.y,change 3.z,change 4.x,change 4.y,change 4.z,change 5.x,change 5.y,change 5.z,change 6.x,change 6.y,change 6.z
2,0.000949374473955239,0.0013225595430588696,0.00019499752670526505,0.0014662471759958468,2.257487256299151e-05,0.0012558382004499435,0.0005646236146251964,7.816509431730933e-05,1.2777745723724365e-05,0.004441807784376868,0.0006290045705951292,0.0007986994460225105,0.004910018834115411,0.0003131259864602304,0.00044199638068675995,0.0022888408923106562,0.001008995075371659,0.002124778926372528
3,0.00015565378011302144,0.00015375057407184672,0.00033670198172330856,6.42871401130285e-05,0.000722694002000767,0.0003134924918413162,0.00015235763095228574,6.204014057186293e-06,7.297471165657043e-05,0.0012511762649060204,0.00035553192642912707,0.0008338149636983871,0.0004156735896142655,0.00033513904297635677,0.0007226048037409782,0.0012157621509757133,1.584405335419703e-05,0.0007898993790149689
4,0.00022936309068653793,0.0003177966596231395,0.0002871258184313774,8.655612939559298e-05,0.0008543945159857624,0.0005126670002937317,8.594896537235039e-05,2.3615457259946538e-05,0.0001079067587852478,0.0011720021601280897,0.0009449911880455054,0.0010718479752540588,0.0008244257283028175,0.00037686412354222265,0.0008334890007972717,6.183357916533794e-05,0.00038958533606432526,0.00199875608086586
5,0.0005192611877739284,0.0006721858549245015,0.0006089312955737114,0.0006380463604287595,0.0008532235365636617,0.0009348941966891289,0.00025660816321619075,7.12687130417902e-05,0.00012474879622459412,0.0004654694842420523,0.0014123666655161717,0.0009244205430150032,0.0004996912158140437,0.0008691336629676402,0.00046442821621894836,0.00013807866684104053,0.0014189232386700081,0.0019333306699991226
6,0.0002114151331336217,3.792321676333518e-05,0.0005154851824045181,0.00020695565823748707,0.00048352446149571224,0.0008685784414410591,0.0001387660653925614,4.370627645675963e-05,2.7447938919067383e-05,0.0003079557309868461,0.00016846896076907342,0.0002187797799706459,0.0002987104751417183,0.0005380221930390422,0.0002145320177078247,0.00044714805917225875,0.0006151978096430692,0.0005861576646566391
7,0.0004667407798804729,8.310271690788879e-05,9.428896009922028e-05,4.006585542455643e-05,1.4265972309034786e-05,0.0001389533281326294,9.952839946536507e-06,2.1479887116357724e-05,3.8895756006240845e-05,7.734411780492556e-05,7.684945249029212e-05,0.00012950226664543152,0.0001401020997761765,0.0003734763420149556,0.0004820823669433594,0.00018419805619546148,0.00039486412342603326,0.0007681958377361298
8,0.00033253401411313666,0.00027270134614275354,6.704498082399368e-05,0.00013454275693622342,0.00028713375180598744,6.183795630931854e-05,2.4663941880376933e-05,9.631993468717736e-06,7.968395948410034e-06,4.3387993221288834e-05,0.0002972223167485369,0.00019780080765485764,0.00011571758084149425,0.00014800289011385886,0.00019922666251659393,0.00012136469312007403,0.0003215145335503794,0.00030474551022052765
9,0.0004508552572070057,0.00010240045318732349,2.1697022020816803e-05,0.00015416295707351702,0.0002472664934639879,3.27620655298233e-05,1.5811738928710878e-06,1.0790432566097088e-05,1.527741551399231e-05,0.00015667935741216915,0.00026153345397957745,0.0003537563607096672,3.1130720151796576e-05,4.011810659725057e-05,0.00032248441129922867,0.0003496418876360874,3.11769320656026e-05,0.00017203949391841888
10,0.0001066256079960276,0.0002454937420779575,0.00011029001325368881,3.7299135934171224e-06,0.00011003972712927967,3.3034011721611023e-06,9.134419520490447e-06,2.1446687047060788e-05,2.0973384380340576e-06,0.00011225310393657428,0.0003873208360435712,4.5816414058208466e-05,4.623661816713365e-05,7.5381231258706e-05,0.00018476974219083786,0.00010278567518204329,0.00025562464353522454,2.7613714337348938e-05
11,0.0003826189033882821,0.0002910211815855164,0.00034409668296575546,4.016897207037573e-05,0.0002427902264541225,0.00038496777415275574,6.832667998384057e-06,7.4966553879340925e-06,3.831833600997925e-05,0.00033735024927601664,0.00013551143111554392,0.00044349487870931625,0.00012456091313697848,0.00012510625217353882,0.0003527980297803879,0.00018151187019410653,0.00019358572740339232,0.000814579427242279
