frame,change 1.x,change 1.y,change 1.z,change 2.x,change 2.y,change 2.z,change 3.x,change 3.y,change 3.z,change 4.x,change 4.y,change 4.z,change 5.x,change 5.y,change 5.z,change 6.x,change 6.y,change 6.z
2,0.0006852290040844922,7.298498206959048e-05,0.001290550921112299,0.0004661545786004556,0.00028697182613162536,0.0011110552586615086,0.0002733875464988756,1.2029373974089966e-06,9.030848741531372e-05,0.0006050496857940707,0.0007418062486827214,0.00046457909047603607,0.0015685062051869203,3.976483228622374e-05,0.0007270053029060364,8.170749430624902e-05,0.0008044723652201706,0.0025006327778100967
3,0.00012148759176902613,0.00010589845197216119,0.00020942743867635727,0.00024384275431743596,2.8722812804811426e-05,0.00023330934345722198,2.5862825807429143e-05,1.5108374480134949e-05,3.8951635360717773e-05,0.0001460422823129498,0.00022973118584213373,0.0011492730118334293,0.00042450651278383433,0.0002292926378035763,0.0005271765403449535,0.003067743170720144,4.3245875642740524e-05,0.0018434058874845505
4,0.0008687625061331999,2.4358660006777028e-05,0.0002592783421278,0.002149190694446315,0.0003910624989372294,0.00015567941591143608,7.12211974610872e-05,1.2782192032548528e-05,7.987022399902344e-06,0.001604590281771831,0.00031186362915026217,0.0002043568529188633,0.0009262819708527326,0.0007461148707832259,6.677117198705673e-06,0.0011015412568476657,0.00012130960012899598,0.0003187302500009537
5,0.00020891743439883925,0.00019734233331875767,0.00010281801223754883,5.720241805023951e-05,4.4126802581020974e-05,0.0001934180036187172,2.1028964510822964e-05,1.6412785523615004e-05,1.0754913091659546e-05,3.681957355892995e-05,0.00010762286396735418,2.316199243068695e-06,0.00022703149665231903,0.00013524309236358223,0.00015820655971765518,0.0005886758195574326,0.0003862601205419456,9.262096136808395e-05
6,0.00038422283974300087,0.00017062796495427232,6.0451216995716095e-05,0.00020505803412698698,4.504015015380919e-05,0.00017268769443035126,1.1374107383740548e-05,4.949903072497502e-06,3.25031578540802e-05,0.0008008261495265484,0.000364796506109908,0.0005629907827824354,0.0008673225040527199,0.00033540796313894297,0.0004437747411429882,0.0012608744212451728,0.00020345145423381755,0.0007965909317135811
7,0.00020054556396452428,2.0085692049691406e-06,0.00040286220610141754,0.0002431164903249211,1.7780968609121955e-05,0.00038408907130360603,4.3080282797029745e-05,2.345403076493141e-07,1.979619264602661e-05,0.00040468997016573915,0.00048368519894813333,0.00016107759438455105,0.00031000814891891937,4.9416975723769185e-05,0.0001683635637164116,0.0015553309137918137,7.97074631963754e-06,0.00019584223628044128
8,3.661181001227143e-05,0.00028804186117662584,0.0005114506930112839,0.00018459919246585632,0.0002672819249670867,0.00025375932455062866,1.912088572239394e-05,3.081266053061584e-05,1.1127442121505737e-05,0.00040362515984268543,0.0003153681703757724,0.0005800407379865646,0.00033310636869468557,0.0005323416915149898,0.00023867608979344368,0.002119244241051199,0.0005580267877755736,0.00038392655551433563
9,0.000513814147390268,0.0003669006287882366,0.00038877222687005997,1.3045629425861849e-05,0.0001874048459554016,0.0001758309081196785,2.9447128262104216e-05,1.836134069956632e-05,2.647191286087036e-05,0.0006074637850970871,0.0001437774726432174,0.00014892383478581905,0.00046251142354822306,0.00027217688267893933,0.000144916120916605,0.0020583834072235574,0.00037546610986684444,4.707835614681244e-05
10,0.0007086025656477118,5.7253104800310956e-05,0.00010775495320558548,0.0004963266216053142,7.390314678679469e-05,1.5716534107923508e-05,2.3884352237284537e-05,5.6161964316735614e-06,4.675239324569702e-05,0.0011425386109805563,0.0003893448820243596,0.0006476605776697397,0.0009423311705440696,0.00033840986888596103,0.0007630852051079273,0.0007352844987699725,1.4138135892637765e-05,0.000627320259809494
11,2.4850937016498986e-05,9.455190721532544e-05,0.00014556385576725006,0.00010478237767390375,0.0001418333903483518,0.00013349158689379692,2.507190593148932e-05,7.440623416883868e-06,3.358721733093262e-05,5.432284503649465e-05,0.0002899899802383185,0.0004150818567723036,0.00010856239373430165,0.00023891120959745535,0.00044653983786702156,4.28700264644144e-05,3.826978718096067e-05,0.000493418425321579
12,1.9279140511765935e-05,0.00018393809060286356,0.0001568775624036789,0.00017380371082360846,3.1412348850817784e-05,0.00019271532073616982,1.4470915171090754e-05,2.381688529532193e-06,1.4044344425201416e-05,0.00010617882590764627,0.00022431834633919803,0.00022053695283830166,0.0001363632672221754,2.5261870558544036e-05,0.00017024017870426178,0.0006673272640817518,2.9670770869000447e-05,0.00037646666169166565
13,2.755333279297334e-05,4.90900606057304e-07,0.00010197330266237259,0.0001672710538851152,3.257241067171346e-05,0.00030766846612095833,4.560540314078876e-06,2.118401319856669e-05,1.0300427675247192e-05,0.0001873265757143805,0.00014857999753695866,0.0001884691882878542,1.1689825701516332e-05,0.0005401103536603197,8.126907050609589e-05,0.0003536067539841592,0.00047155269061352305,4.464946687221527e-05
14,0.00037513604274316825,0.00010593662132247356,0.00016779080033302307,0.0003782380677347097,7.417784401390556e-05,0.0002764738164842129,4.504779322321052e-05,2.121442952136241e-05,1.4852732419967651e-05,0.0005864198651683583,0.0005905214649325301,2.9180198907852173e-05,0.0007234768689152876,0.0002545045587429885,0.00017027975991368294,0.0011444845139711446,0.00030631032848193497,0.00011749193072319031
15,0.00017599777119142734,0.0002306321031562246,2.1715648472309113e-05,0.00017469584809626237,0.00028518221294595095,4.774751141667366e-05,2.777812262856616e-05,1.9377286149010954e-05,2.4713575839996338e-05,0.0003079292605561029,0.00046807736260515154,7.576425559818745e-05,0.0008371703759399024,0.00013814085673924392,4.163477569818497e-06,0.00043189532720483426,0.0003057407996049071,0.0006003696471452713
16,0.000436346863899692,1.1738727549726047e-06,3.119092434644699e-05,0.0004124708279195227,6.01725041894062e-05,0.00011793430894613266,3.289428281072135e-05,1.3266923110334433e-05,3.3251941204071045e-05,0.0003064030060499212,0.00041466753346427673,0.0003180115018039942,0.0006807803621449171,0.00017440655312779205,0.0005247835069894791,0.00011803886541583708,0.0001939637605155118,0.0006537456065416336
17,0.00045634860243763675,9.056462683668803e-05,8.149910718202591e-05,0.0003891656005410443,5.379246016285269e-05,0.000253431499004364,2.922395594784355e-05,1.6220589263355725e-05,1.420825719833374e-05,1.8707749967941667e-05,0.00047193965382298295,0.0001337616704404354,3.8385860491596535e-05,0.00031193683678811326,0.00010812235996127129,0.00033589725683502714,0.0003152632310087153,0.00027745217084884644
18,0.0002751544362832453,0.00021158085915963867,0.00015420280396938324,0.0002982435003893724,5.901354064085512e-05,0.00023014703765511513,2.60275123542264e-05,4.100607338286316e-06,1.7873942852020264e-05,0.0003865451015388349,0.00017954238489190782,0.00023677502758800983,0.0003916087389166517,0.0003127232080588002,0.00010070158168673515,0.00018197837897676594,1.0184732666585275e-05,0.00020268186926841736
19,8.206032620662607e-05,0.00010282908608598776,0.00017619691789150238,0.00018931592713491985,9.438864015777482e-05,4.320312291383743e-05,3.193304908669439e-05,8.191278945998356e-06,1.5906989574432373e-05,7.524385567159175e-05,0.00022652487756865888,5.345791578292847e-06,6.928150153046042e-06,0.000219973452165248,0.00020863255485892296,0.0004861182429795885,7.679846010677158e-05,0.00023996643722057343
20,0.00024305804943915155,4.1084340212032416e-05,0.0001702345907688141,0.0001988797081308169,5.485975229594514e-06,0.0002002771943807602,4.3314538188586604e-05,7.999650879968265e-07,6.94766640663147e-06,0.00017673986915611728,0.0002363895107594799,8.750287815928459e-05,0.00013881337097547408,7.696795856849958e-05,0.00013177981600165367,1.053066752984555e-05,1.0647601146086816e-06,5.346350371837616e-05
21,7.306858647868064e-05,1.9426844319669206e-05,0.00013698916882276535,6.497192204407698e-05,7.469052730490686e-05,0.00010363943874835968,3.4903186600593675e-05,4.784520499737468e-06,1.601874828338623e-05,7.352720910624999e-06,9.937200285900505e-08,5.076499655842781e-05,7.355125871551238e-05,8.957608950851959e-05,8.213194087147713e-05,0.00011127845684463789,6.874471807460751e-05,0.000368703156709671
22,7.32520803984199e-05,0.0001784407159409994,0.0002855919301509857,6.4251604982440425e-06,1.023357806567704e-05,0.0003203689120709896,8.506950765719765e-06,4.649239982048355e-06,3.1620264053344727e-05,2.1022478966278846e-05,0.0002962952495274701,0.00019863317720592022,2.5644210694911185e-05,0.0002332080897379761,0.00013449648395180702,0.00045300516149701653,3.188152880063272e-05,0.0004517361521720886
23,0.0001655115731804685,1.9367343245823426e-05,0.00013873260468244553,6.118657486889334e-05,4.661723534426024e-05,7.948838174343109e-06,6.995810549183419e-05,1.1845491732581648e-05,7.893890142440796e-06,0.0002269259842490462,0.000318087091838018,0.00025244150310754776,0.00029186387628310495,7.188354948519868e-05,4.785740748047829e-05,0.0014563389611692013,0.00013969620238216476,0.0001859813928604126
24,0.00029075298192757226,0.0001632708452209801,2.4711713194847107e-05,0.0003447399840127846,0.00018603523622067256,4.537403583526611e-05,9.457305443090133e-06,6.7299683893362995e-06,2.06679105758667e-05,0.0002330875991880671,1.7704403200022312e-05,0.00010410137474536896,0.00023623800273447904,0.0003362783639908988,2.286769449710846e-05,0.0005273556881627839,4.576686932334945e-05,0.00011489912867546082
25,0.000163643275152614,0.00017698621741499276,0.0001469617709517479,0.0002349521563859841,9.386192386455494e-05,0.00011024530977010727,6.405504859887529e-06,4.1104413994578234e-06,2.1867454051971436e-05,0.00032414017095989955,7.43450735414021e-05,2.1629035472869873e-05,0.0004020057845345454,2.420601241306941e-05,1.473352313041687e-05,0.0001803712727320994,0.00011661948779242634,0.00026227906346321106
26,0.0001101105689128995,6.972816170747534e-05,0.00021326076239347458,9.461370218508125e-05,9.375536340834253e-05,6.548035889863968e-05,7.742728982525204e-06,9.697855096815972e-06,1.272931694984436e-05,0.0005707367432611077,0.00012513922280995085,2.214452251791954e-05,0.00038647228078002305,0.0004107509024685284,0.00016922317445278168,0.00015396153478774988,0.00012414487257650462,0.0002923663705587387
27,9.419333323605616e-05,0.00014412629734015733,0.00010475423187017441,0.00016916747069523064,0.0002495891262623978,0.00030625704675912857,3.550479057017053e-05,3.343643752817962e-05,1.7989426851272583e-05,1.7610986891569702e-05,0.000495253829252161,0.00027905916795134544,0.00015109219210449054,0.00018814678698939047,2.750661224126816e-06,0.0004184449289308667,0.00064417303651205,0.0005904641002416611
28,0.0005251567054105483,1.496734583928891e-05,0.00029325205832719803,0.00029191386486254745,2.716577853707422e-05,0.00013860687613487244,8.112664498044486e-05,2.827038361693932e-05,2.983585000038147e-05,0.0007531846891896399,0.0006518651505050058,0.00011807656846940517,0.0002675384223626981,0.0009134197785012378,0.00036723772063851357,0.0010440959179062737,0.0005921630832974555,0.0007852129638195038
29,0.0008706158082383286,4.8955184269419e-05,0.0004995325580239296,0.0005229211376865522,1.1613331994956427e-05,0.0005687987431883812,0.00015455539919127619,2.6593376909976856e-06,1.5534460544586182e-06,0.001227976906969852,9.049054422584704e-05,0.00020978040993213654,0.0006439623258573668,0.00047870978512061513,0.00029779085889458656,0.0009854326714286432,5.255402491790781e-07,0.0001629367470741272
30,5.5849817752570696e-05,0.0004300058069568666,0.0002840375527739525,0.00031405149049551495,0.0002315531220029518,0.0005961130373179913,3.671129918903296e-05,4.877433430785827e-05,1.7002224922180176e-05,0.000621827932433594,0.0007559356660758777,4.846393130719662e-05,0.00026590622401953534,0.0007880040343731382,0.0003918055444955826,0.0014820340600172899,0.0009155294968108746,7.781758904457092e-05
31,0.0003700935289327467,0.0005794456820181204,0.00018091686069965363,0.0002836820405735241,0.00017365390554173812,0.0003144764341413975,3.4838875670318084e-05,6.037377698249474e-05,3.069266676902771e-05,0.00023856065972797935,0.0009040370944482408,0.0004289106000214815,0.0008124164304140064,0.0005113076713762731,0.00015534739941358566,0.0021138580383662786,0.0009664288811423068,0.0006310325115919113
